GeneID,Gene Symbol,pvalue,log2FoldChange
105370275,LOC105370275,6.77E-05,-1.181106059
29881,NPC1L1,0.008876869,-1.180418691
64581,CLEC7A,1.74E-05,-1.179554855
57214,CEMIP,1.14E-07,-1.179513418
942,CD86,2.94E-05,-1.178084218
105370624,LOC105370624,0.000440256,-1.176657597
286464,CFAP47,0.00021242,-1.174725096
79887,PLBD1,7.24E-08,-1.172343431
134265,AFAP1L1,3.03E-09,-1.170837854
11326,VSIG4,0.00527578,-1.16780765
102724852,LOC102724852,7.29E-05,-1.165754239
10170,DHRS9,0.000217805,-1.165362738
105371919,LINC01977,6.29E-05,-1.164104453
11185,INMT,0.004728542,-1.163063207
100289255,TMEM238L,0.021539228,-1.160483823
1646,AKR1C2,8.36E-10,-1.158515688
3078,CFHR1,7.71E-06,-1.158168302
6614,SIGLEC1,0.00047261,-1.157791575
2159,F10,5.09E-10,-1.156549935
4502,MT2A,3.12E-06,-1.153682241
3109,HLA-DMB,2.96E-05,-1.152045707
51384,WNT16,5.36E-06,-1.149411867
8673,VAMP8,5.60E-06,-1.148813868
55821,ALLC,0.005498306,-1.14729539
2289,FKBP5,1.22E-05,-1.145770803
10788,IQGAP2,0.000224371,-1.140539015
10149,ADGRG2,2.12E-06,-1.140390906
25987,TSKU,5.64E-08,-1.140159308
58475,MS4A7,0.000111392,-1.1395559
164153,UBL4B,0.00333516,-1.138275037
3399,ID3,5.85E-07,-1.138164408
1378,CR1,0.002302391,-1.137692896
54541,DDIT4,4.79E-07,-1.133045985
4616,GADD45B,5.62E-05,-1.129639719
4792,NFKBIA,8.41E-16,-1.127390032
563,AZGP1,0.002029325,-1.127050043
2533,FYB1,2.25E-05,-1.125487711
7035,TFPI,1.27E-05,-1.124048132
2857,GPR34,2.84E-05,-1.123046233
25959,KANK2,5.40E-08,-1.121334247
105370103,LOC105370103,4.21E-06,-1.118324969
85477,SCIN,0.00558972,-1.117363658
140876,RIPOR3,1.71E-08,-1.116465676
9322,TRIP10,1.09E-07,-1.116282724
8809,IL18R1,0.005708133,-1.116003356
102723983,LOC102723983,2.52E-07,-1.115220908
91862,MARVELD3,1.94E-09,-1.115110127
3394,IRF8,6.33E-05,-1.114649301
